id,customer_id,product_id,review,rating
1,1,1,"Chất lượng tốt, chim rất thích ăn!",5
2,1,2,"Hạt sạch, đóng gói kỹ càng.",4
3,1,6,"Viên thức ăn hơi to với chim nhỏ.",3
4,1,11,"Đồ chơi phát ra âm thanh vui tai, chim thích lắm.",5
5,1,22,"Lồng chim khá chắc chắn nhưng hơi nặng.",4
6,1,5,"Yến mạch dễ tiêu hóa, chim khỏe mạnh hơn.",5
7,1,14,"Chuông hơi nhỏ, treo lên bị nghiêng.",3
8,1,1,"test review!",5
9,1,1,"test review!",5
12,1,5,oke,4
14,1,23,"Test review 1",3
15,1,14,"Test rv của Han",4
16,1,2,"test rv3",1
17,1,19,sdefsdfs,5
23,3,6,yup,5
25,1,1,gud,5
26,1,1,gud,5
27,1,1,gud,5
28,1,1,gud,5
29,1,1,gud,5
30,1,1,gud,5
31,1,1,nice,5
32,3,7,"Chim nhà tôi rất mê :3",4
33,3,7,"Chim nhà tôi rất mê :3",4
34,3,18,"rất tiện lợi",5
35,3,24,"Sản phẩm rất tốt",5
